strain,state,supercategory,category,condition,month
Citral Skunk,WA,Inhalents,Flower,Pain,0119
Citral Skunk,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
Purple Thai,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Anxiety & Stress,0119
,AK,Inhalents,Flower,Pain,0119
,AK,Inhalents,Flower,Pain,0119
,AK,Inhalents,Flower,Pain,0119
,AK,Inhalents,Flower,Pain,0119
LSD,AK,Inhalents,Flower,Pain,0119
,AK,Inhalents,Flower,Anxiety & Stress,0119
,AK,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
Sour Diesel,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
Sour Diesel,CA,Inhalents,Flower,Pain,0119
Sour Diesel,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
Sour Diesel,CA,Inhalents,Flower,Pain,0119
Jack Herer,CA,Inhalents,Flower,Pain,0119
Bright Fire,CA,Inhalents,Flower,Pain,0119
Jack Herer,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
Jack Herer,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
Lady Benbow,CA,Inhalents,Flower,Pain,0119
Lady Benbow,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Anxiety & Stress,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
Sour Diesel,CA,Inhalents,Flower,Pain,0119
Gelato,CA,Inhalents,Flower,Pain,0119
BOG Bubble,CA,Inhalents,Flower,Pain,0119
Royal Kush,CA,Inhalents,Flower,Cancer,0119
Royal Kush,CA,Inhalents,Flower,Cancer,0119
Royal Kush,CA,Inhalents,Flower,Cancer,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
Sunset Sherbet,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Cancer,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Anxiety & Stress,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
Goji OG,OR,Inhalents,Flower,Pain,0119
Goji OG,OR,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Cancer,0119
,CA,Inhalents,Flower,Cancer,0119
,CA,Inhalents,Flower,Cancer,0119
,CA,Inhalents,Flower,Cancer,0119
,CA,Inhalents,Flower,Cancer,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
Gucci OG,CA,Inhalents,Flower,Pain,0119
Gucci OG,CA,Inhalents,Flower,Pain,0119
Gucci OG,CA,Inhalents,Flower,Pain,0119
3 Kings,CA,Inhalents,Flower,Pain,0119
3 Kings,CA,Inhalents,Flower,Pain,0119
Sour Diesel,CA,Inhalents,Flower,Pain,0119
Sour Diesel,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
Sour Diesel,CA,Inhalents,Flower,Pain,0119
Sour Diesel,CA,Inhalents,Flower,Pain,0119
Sour Diesel,CA,Inhalents,Flower,Pain,0119
Purple Thai,CA,Inhalents,Flower,Pain,0119
Purple Thai,CA,Inhalents,Flower,Pain,0119
Purple Thai,CA,Inhalents,Flower,Pain,0119
3 Kings,CA,Inhalents,Flower,Pain,0119
,CA,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
Snow Lotus,OR,Inhalents,Flower,Pain,0119
Snow Lotus,OR,Inhalents,Flower,Pain,0119
Snow Lotus,OR,Inhalents,Flower,Pain,0119
Snow Lotus,OR,Inhalents,Flower,Pain,0119
Snow Lotus,OR,Inhalents,Flower,Pain,0119
Snow Lotus,OR,Inhalents,Flower,Pain,0119
God Bud,OR,Inhalents,Flower,Pain,0119
Bubba Kush,OR,Inhalents,Flower,Pain,0119
Bubba Kush,OR,Inhalents,Flower,Pain,0119
Bubba Kush,OR,Inhalents,Flower,Pain,0119
Purple Kush,OR,Inhalents,Flower,Pain,0119
Purple Kush,OR,Inhalents,Flower,Pain,0119
Purple Kush,OR,Inhalents,Flower,Pain,0119
Purple Kush,OR,Inhalents,Flower,Pain,0119
LSD,OR,Inhalents,Flower,Pain,0119
LSD,OR,Inhalents,Flower,Pain,0119
LSD,OR,Inhalents,Flower,Pain,0119
LSD,OR,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
Blue Dream,OR,Inhalents,Flower,Pain,0119
Blue Dream,OR,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
LSD,OR,Inhalents,Flower,Pain,0119
Purple Thai,OR,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
White 99,OR,Inhalents,Flower,Anxiety & Stress,0119
XJ-13,WA,Inhalents,Flower,Pain,0119
Northern Lights #5,WA,Inhalents,Flower,Pain,0119
Northern Lights #5,WA,Inhalents,Flower,Pain,0119
Hawaiian,WA,Inhalents,Flower,Pain,0119
Hawaiian,WA,Inhalents,Flower,Pain,0119
Hawaiian,WA,Inhalents,Flower,Pain,0119
Hawaiian,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
Dr. Who,WA,Inhalents,Flower,Pain,0119
Fire OG,WA,Inhalents,Flower,Pain,0119
Fire OG,WA,Inhalents,Flower,Pain,0119
Fire OG,WA,Inhalents,Flower,Pain,0119
Fire OG,WA,Inhalents,Flower,Pain,0119
Fire OG,WA,Inhalents,Flower,Pain,0119
Fire OG,WA,Inhalents,Flower,Pain,0119
Fire OG,WA,Inhalents,Flower,Pain,0119
Fire OG,WA,Inhalents,Flower,Pain,0119
Fire OG,WA,Inhalents,Flower,Pain,0119
Super Silver Haze,WA,Inhalents,Flower,Pain,0119
Tangie,WA,Inhalents,Flower,Pain,0119
Hawaiian,WA,Inhalents,Flower,Pain,0119
The White,WA,Inhalents,Flower,Pain,0119
Cannatonic,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,OR,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Anxiety & Stress,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
,WA,Inhalents,Flower,Pain,0119
Blue Dream,OR,Inhalents,Flower,Pain,0119
Blue Dream,OR,Inhalents,Flower,Pain,0119
Blue Dream,OR,Inhalents,Flower,Pain,0119
Blue Dream,OR,Inhalents,Flower,Pain,0119
